"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Archived_Date__c","nFORCE__Context_Id__c","nFORCE__Context_Owner_Id__c","nFORCE__Is_Archived__c","nFORCE__Label__c","nFORCE__Question__c","nFORCE__Answer__c","nFORCE__Currency_Answer__c","nFORCE__Number_Answer__c","AutorabitExtId__c"
"a1K8c00000iVnPdEAK","0058c00000BxeO9AAJ","false","A-000635","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000Bgq8AAC","","","",""
"a1K8c00000iVnPeEAK","0058c00000BxeO9AAJ","false","A-000636","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000lZIsAAM","","","",""
"a1K8c00000iVnPfEAK","0058c00000BxeO9AAJ","false","A-000637","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000dYSkAAM","","","",""
"a1K8c00000iVnPgEAK","0058c00000BxeO9AAJ","false","A-000638","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000GIP8AAO","","","",""
"a1K8c00000iVnPhEAK","0058c00000BxeO9AAJ","false","A-000639","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000BgziAAC","","","",""
"a1K8c00000iVnPiEAK","0058c00000BxeO9AAJ","false","A-000640","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000BgpbAAC","","","",""
"a1K8c00000iVnPjEAK","0058c00000BxeO9AAJ","false","A-000641","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000GIOaAAO","","","",""
"a1K8c00000iVnPkEAK","0058c00000BxeO9AAJ","false","A-000642","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYTNAA2","","","",""
"a1K8c00000iVnPlEAK","0058c00000BxeO9AAJ","false","A-000643","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYS4AAM","","","",""
"a1K8c00000iVnPmEAK","0058c00000BxeO9AAJ","false","A-000644","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000Bgz9AAC","","","",""
"a1K8c00000iVnPnEAK","0058c00000BxeO9AAJ","false","A-000645","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000lZILAA2","","","",""
"a1K8c00000iVnPoEAK","0058c00000BxeO9AAJ","false","A-000646","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYTOAA2","","","",""
"a1K8c00000iVnPpEAK","0058c00000BxeO9AAJ","false","A-000647","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000Bgq6AAC","","","",""
"a1K8c00000iVnPqEAK","0058c00000BxeO9AAJ","false","A-000648","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000GIP6AAO","","","",""
"a1K8c00000iVnPrEAK","0058c00000BxeO9AAJ","false","A-000649","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYSdAAM","","","",""
"a1K8c00000iVnPsEAK","0058c00000BxeO9AAJ","false","A-000650","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYUNAA2","","","",""
"a1K8c00000iVnPtEAK","0058c00000BxeO9AAJ","false","A-000651","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000BgzgAAC","","","",""
"a1K8c00000iVnPuEAK","0058c00000BxeO9AAJ","false","A-000652","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000lZIqAAM","","","",""
