"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Is_Template__c","LLC_BI__Start_Date__c","LLC_BI__lookupKey__c","LLC_BI__Is_Disabled__c","LLC_BI__Show_Footnotes__c","LLC_BI__Selected_Scale__c","LLC_BI__Object_API_Name__c","LLC_BI__Source_Template__c","LLC_BI__Is_Consolidation__c","LLC_BI__Version__c","AutorabitExtId__c","LLC_BI__Migration_Target__c"
"a1G7900000072n9EAA","0058c00000BxeO9AAJ","false","Commercial Consolidations Template","2024-08-26T17:33:09.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","","","","A one for one mapping for the nCino Commercial Spreads Template","","true","","07303210_0F01_4E63","false","false","$","","","true","","",""
"a1G7900000072nAEAQ","0058c00000BxeO9AAJ","false","Individual Consolidations Template","2024-08-26T17:33:09.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","","","","A one for one mapping for the nCino Individual Spreads Template","","true","","1D6E5D4C_0D0E_495A","false","false","$","","","true","","",""
"a1G7900000072nBEAQ","0058c00000BxeO9AAJ","false","Small Business Consolidations Template","2024-08-26T17:33:09.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","0058c00000BxeO9AAJ","2024-08-26T17:58:57.000Z","","","","A one for one mapping for the nCino Small Business Spreads Template","","true","","09111510_1052_4B29","false","false","$","","","true","","",""
