"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2GHo000001ueJ7MAI","005Ho00000AXM6UIAX","","Syndications Summary","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42254700713997327","false","","","",""
"a2GHo000001ueJ8MAI","005Ho00000AXM6UIAX","","Counterparty Report","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42582982089307696","false","","","",""
"a2GHo000001ueJ9MAI","005Ho00000AXM6UIAX","","Total Exposure","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42159428573333161","false","","","",""
"a2GHo000001ueJAMAY","005Ho00000AXM6UIAX","","Loan Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42477760115293706","false","","","",""
"a2GHo000001ueJBMAY","005Ho00000AXM6UIAX","","Pricing","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42603748046132357","false","","","",""
"a2GHo000001ueJCMAY","005Ho00000AXM6UIAX","","Rate Structure","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42306104470834702","false","","","",""
"a2GHo000001ueJDMAY","005Ho00000AXM6UIAX","","Payment Structure","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42845770103705580","false","","","",""
"a2GHo000001ueJEMAY","005Ho00000AXM6UIAX","","Referral","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42410404119994869","false","","","",""
"a2GHo000001ueJFMAY","005Ho00000AXM6UIAX","","Balance Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42506447999100246","false","","","",""
"a2GHo000001ueJGMAY","005Ho00000AXM6UIAX","","Booked Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42226870141912786","false","","","",""
"a2GHo000001ueJHMAY","005Ho00000AXM6UIAX","","Borrowing Structure Information","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42342881603800273","false","","","",""
"a2GHo000001ueJIMAY","005Ho00000AXM6UIAX","","CRA Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42768158053098535","false","","","",""
"a2GHo000001ueJJMAY","005Ho00000AXM6UIAX","","HMDA Screen 1","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42870475258935934","false","","","",""
"a2GHo000001ueJKMAY","005Ho00000AXM6UIAX","","Entity Compliance Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42346461972245017","false","","","",""
"a2GHo000001ueJLMAY","005Ho00000AXM6UIAX","","Loan Compliance Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42366262690465820","false","","","",""
"a2GHo000001ueJMMAY","005Ho00000AXM6UIAX","","Entity Compliance Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42359232390869881","false","","","",""
"a2GHo000001ueJNMAY","005Ho00000AXM6UIAX","","Loan Compliance Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42832806785932622","false","","","",""
"a2GHo000001ueJOMAY","005Ho00000AXM6UIAX","","Change Memo","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42432836327202375","false","","","",""
"a2GHo000001ueJQMAY","005Ho00000AXM6UIAX","","Team Members","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42296036791553577","false","","","",""
"a2GHo000001ueJRMAY","005Ho00000AXM6UIAX","","Manage Bill Points","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42238686668345765","false","","","",""
"a2GHo000001ueJSMAY","005Ho00000AXM6UIAX","","Loan Compliance Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42154138192718696","false","","","",""
"a2GHo000001ueJTMAY","005Ho00000AXM6UIAX","","Product Package Collateral2","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42456617561636458","false","","","",""
