"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Order__c","nFORCE__Screen_Section__c","nFORCE__Screen__c","nFORCE__Type__c","nFORCE__lookupKey__c"
"a3vHo000000oiNRIAY","005Ho00000AXM6UIAX","","a3vHo000000oiNR","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","0.0","a2FHo000003XBg5MAG","a2GHo000001ueK7MAI","","a3vHo000000oiNRIAY"
"a3vHo000000oiNSIAY","005Ho00000AXM6UIAX","","a3vHo000000oiNS","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","1.0","a2FHo000003XBg4MAG","a2GHo000001ueK7MAI","","a3vHo000000oiNSIAY"
"a3vHo000000oifaIAA","005Ho00000AXM6UIAX","","a3v4S00000001ZR","2023-11-03T19:40:35.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:35.000Z","005Ho00000AXM6UIAX","","","","0.0","a2FHo000003XBg5MAG","a2GHo000001ueK7MAI","","a3v4S00000001ZRQAY"
"a3vHo000000oifbIAA","005Ho00000AXM6UIAX","","a3v4S00000001ZS","2023-11-03T19:40:35.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:35.000Z","005Ho00000AXM6UIAX","","","","1.0","a2FHo000003XBg4MAG","a2GHo000001ueK7MAI","","a3v4S00000001ZSQAY"
