"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Active__c","LLC_BI__Advance_Rate__c","LLC_BI__Collateral_Code__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Manufactured_Home__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Start_Date__c","LLC_BI__Subtype__c","LLC_BI__Type__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__lookupKey__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Highest_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Parent_Type__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","LLC_BI__Auto_Update_Collateral_Value__c","LLC_BI__Primary_Valuation_Sources__c","LLC_BI__Valuation_Field_Set__c","AutorabitExtId__c","LLC_BI__Category__c","LLC_BI__Group_Type__c"
"a1x8c000002dIhKAAU","0058c00000BxeO9AAJ","false","Real Estate-Other RE","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T11:20:40.000Z","0058c00000BxeO9AAJ","2024-11-08T11:20:40.000Z","","","","true","80.0","","false","","","false","","2023-11-19","Other RE","Real Estate","670B7B","fff","custom/custom24","a1x8c000002dIhzAAE","{/""prodPkgEditScreen/"":/""723454364762362365/"",/""ownershipAssignmentFieldSetName/"":/""LLC_BI__Bulk_Ownership_Assignment/"",/""editCollateralScreen/"":/""42363993400862416/"",/""copyCollateralScreen/"":/""42363993400862416/"",/""collateralScreenName/"":/""Collateral Creation Screen/"",/""collateralCopyFieldSetName/"":/""LLC_BI__Collateral_Creation_Screen_Configuration/"",/""collateralCloneFieldSetName/"":/""LLC_BI__Collateral_Creation_Screen_Configuration/"",/""addCollateralScreen/"":/""42363993400862416/"",/""addChildCollateralScreen/"":/""42363993400862416/""}","","false","","","","false","","","","",""
"a1x8c0000035R01AAE","0058c00000BxeO9AAJ","false","Titled-Aircraft-206","2023-09-08T10:11:28.000Z","0058c00000BxeO9AAJ","2024-11-08T11:20:40.000Z","0058c00000BxeO9AAJ","2024-11-08T11:20:40.000Z","","","","true","75.0","206","false","","Manage_Collateral_Titled","false","","2016-08-29","Aircraft","Titled","Ba202E","fff","custom/custom31","a2k3g000000CbDoAAK","{/""prodPkgEditScreen/"":/""42091291881629952/"",/""ownershipAssignmentFieldSetName/"":/""LLC_BI__Bulk_Ownership_Assignment/"",/""editCollateralScreen/"":/""42314602511581740/"",/""copyCollateralScreen/"":/""42314602511581740/"",/""collateralScreenName/"":/""Collateral Creation Screen/"",/""collateralCopyFieldSetName/"":/""LLC_BI__Collateral_Creation_Screen_Configuration/"",/""collateralCloneFieldSetName/"":/""LLC_BI__Collateral_Creation_Screen_Configuration/"",/""addCollateralScreen/"":/""42314602511581740/"",/""addChildCollateralScreen/"":/""42314602511581740/""}","","false","","","","false","","","","",""
